rider,stage,position,gap,stage_time
GANNA Filippo,21,1,0,2028
CAVAGNA Rémi,21,2,12,2040
AFFINI Edoardo,21,3,13,2041
SOBRERO Matteo,21,4,14,2042
ALMEIDA João,21,5,27,2055
WALSCHEID Max,21,6,33,2061
BETTIOL Alberto,21,7,34,2062
TRATNIK Jan,21,8,42,2070
MOSCON Gianni,21,9,44,2072
KEISSE Iljo,21,10,47,2075
BODNAR Maciej,21,11,54,2082
FOSS Tobias,21,12,58,2086
ARNDT Nikias,21,13,62,2090
MARTÍNEZ Daniel Felipe,21,14,81,2109
ULISSI Diego,21,15,83,2111
BRÄNDLE Matthias,21,16,83,2111
CARUSO Damiano,21,17,83,2111
GROßSCHARTNER Felix,21,18,83,2111
VLASOV Aleksandr,21,19,86,2114
VAN DEN BERG Julius,21,20,98,2126
BOUWMAN Koen,21,21,105,2133
FORMOLO Davide,21,22,110,2138
HEPBURN Michael,21,23,112,2140
BERNAL Egan,21,24,113,2141
CASTROVIEJO Jonathan,21,25,117,2145
DENZ Nico,21,26,120,2148
SERRY Pieter,21,27,124,2152
SEIGLE Romain,21,28,125,2153
RIESEBEEK Oscar,21,29,127,2155
SÁNCHEZ Luis León,21,30,129,2157
BARDET Romain,21,31,130,2158
IZAGIRRE Gorka,21,32,131,2159
WIŚNIOWSKI Łukasz,21,33,132,2160
HONORÉ Mikkel Frølich,21,34,133,2161
BATTISTELLA Samuele,21,35,139,2167
JORGENSON Matteo,21,36,142,2170
TEJADA Harold,21,37,145,2173
NIBALI Vincenzo,21,38,145,2173
CARTHY Hugh,21,39,147,2175
OLIVEIRA Nelson,21,40,148,2176
COVI Alessandro,21,41,149,2177
VALTER Attila,21,42,152,2180
BENNETT George,21,43,153,2181
LEYSEN Senne,21,44,154,2182
MOLANO Juan Sebastián,21,45,154,2182
WARBASSE Larry,21,46,155,2183
CARR Simon,21,47,156,2184
JANSSENS Jimmy,21,48,158,2186
PRONSKIY Vadim,21,49,161,2189
KANTER Max,21,50,163,2191
YATES Simon,21,51,165,2193
BEVIN Patrick,21,52,166,2194
JUUL-JENSEN Christopher,21,53,167,2195
GOUGEARD Alexis,21,54,172,2200
TORRES Albert,21,55,173,2201
VENDRAME Andrea,21,56,174,2202
SAGAN Peter,21,57,179,2207
CATALDO Dario,21,58,181,2209
GAVIRIA Fernando,21,59,182,2210
FABBRO Matteo,21,60,184,2212
PONOMAR Andrii,21,61,184,2212
ALEOTTI Giovanni,21,62,186,2214
STORER Michael,21,63,190,2218
KNOX James,21,64,190,2218
ZANA Filippo,21,65,194,2222
VAN DEN BERG Lars,21,66,195,2223
CONTI Valerio,21,67,200,2228
KANGERT Tanel,21,68,201,2229
PUCCIO Salvatore,21,69,202,2230
HIRT Jan,21,70,202,2230
MARTENS Paul,21,71,203,2231
CONSONNI Simone,21,72,206,2234
KEUKELEIRE Jens,21,73,206,2234
PASQUALON Andrea,21,74,207,2235
TAARAMÄE Rein,21,75,208,2236
DE BONDT Dries,21,76,210,2238
SEPÚLVEDA Eduardo,21,77,210,2238
SABATINI Fabio,21,78,212,2240
SCOTSON Callum,21,79,213,2241
RICHEZE Maximiliano,21,80,213,2241
KRIEGER Alexander,21,81,218,2246
MINALI Riccardo,21,82,219,2247
ALBANESE Vincenzo,21,83,220,2248
OSS Daniel,21,84,220,2248
BILBAO Pello,21,85,220,2248
MARTIN Dan,21,86,220,2248
GHEBREIGZABHIER Amanuel,21,87,221,2249
RIVI Samuele,21,88,222,2250
TAGLIANI Filippo,21,89,222,2250
NARVÁEZ Jhonatan,21,90,223,2251
VERVAEKE Louis,21,91,223,2251
VIVIANI Elia,21,92,225,2253
HAMILTON Chris,21,93,227,2255
ROCHE Nicolas,21,94,228,2256
MOLLEMA Bauke,21,95,230,2258
MOSCA Jacopo,21,96,231,2259
VILLELLA Davide,21,97,232,2260
KREDER Wesley,21,98,232,2260
MEYER Cameron,21,99,233,2261
ARASHIRO Yukiya,21,100,235,2263
HERMANS Quinten,21,101,235,2263
CIMOLAI Davide,21,102,238,2266
GAVAZZI Francesco,21,103,239,2267
GALLOPIN Tony,21,104,241,2269
BOUCHARD Geoffrey,21,105,243,2271
CARBONI Giovanni,21,106,244,2272
BADILATTI Matteo,21,107,248,2276
PETILLI Simone,21,108,249,2277
MOLARD Rudy,21,109,249,2277
MOSCHETTI Matteo,21,110,250,2278
RAVASI Edward,21,111,250,2278
RAVANELLI Simone,21,112,251,2279
PEDRERO Antonio,21,113,258,2286
DUCHESNE Antoine,21,114,258,2286
NAESEN Lawrence,21,115,261,2289
OLDANI Stefano,21,116,262,2290
BENEDETTI Cesare,21,117,263,2291
VAN GARDEREN Tejay,21,118,263,2291
SCHMID Mauro,21,119,265,2293
VISCONTI Giovanni,21,120,267,2295
FRANKINY Kilian,21,121,270,2298
LINDEMAN Bert-Jan,21,122,271,2299
NIEVE Mikel,21,123,271,2299
DE KORT Koen,21,124,276,2304
VALLS Rafael,21,125,277,2305
MARENGO Umberto,21,126,287,2315
