rider,stage,position,gap,stage_time
BENNETT Sam,21,1,0,10412
PEDERSEN Mads,21,2,0,10412
SAGAN Peter,21,3,0,10412
KRISTOFF Alexander,21,4,0,10412
VIVIANI Elia,21,5,0,10412
VAN AERT Wout,21,6,0,10412
EWAN Caleb,21,7,0,10412
HOFSTETTER Hugo,21,8,0,10412
COQUARD Bryan,21,9,0,10412
WALSCHEID Max,21,10,0,10412
COLBRELLI Sonny,21,11,0,10412
BOASSON HAGEN Edvald,21,12,0,10412
MEZGEC Luka,21,13,0,10412
BONIFAZIO Niccolò,21,14,0,10412
RUSSO Clément,21,15,0,10412
VENTURINI Clément,21,16,0,10412
TRENTIN Matteo,21,17,0,10412
BOL Cees,21,18,0,10412
STUYVEN Jasper,21,19,0,10412
VAN ASBROECK Tom,21,20,0,10412
REZA Kévin,21,21,0,10412
HALLER Marco,21,22,0,10412
BAUER Jack,21,23,0,10412
NAESEN Oliver,21,24,0,10412
TURGIS Anthony,21,25,0,10412
MØRKØV Michael,21,26,0,10412
MOHORIČ Matej,21,27,0,10412
KOCH Jonas,21,28,0,10412
CONSONNI Simone,21,29,0,10412
KEUKELEIRE Jens,21,30,0,10412
SOUPE Geoffrey,21,31,0,10412
ROJAS José Joaquín,21,32,0,10412
BARTHE Cyril,21,33,0,10412
MOLARD Rudy,21,34,0,10412
BILBAO Pello,21,35,0,10412
LANDA Mikel,21,36,0,10412
DUMOULIN Tom,21,37,0,10412
POLANC Jan,21,38,0,10412
ROGLIČ Primož,21,39,0,10412
VALVERDE Alejandro,21,40,0,10412
POGAČAR Tadej,21,41,0,10412
MAS Enric,21,42,0,10412
BETTIOL Alberto,21,43,0,10412
DE BUYST Jasper,21,44,0,10412
JANSEN Amund Grøndahl,21,45,0,10412
CATALDO Dario,21,46,0,10412
YATES Adam,21,47,0,10412
IZAGIRRE Gorka,21,48,0,10412
ERVITI Imanol,21,49,0,10412
LAPORTE Christophe,21,50,0,10412
NIEUWENHUIS Joris,21,51,0,10412
CHAVES Esteban,21,52,0,10412
LUTSENKO Alexey,21,53,0,10412
OLIVEIRA Nelson,21,54,0,10412
LAENGEN Vegard Stake,21,55,0,10412
URÁN Rigoberto,21,56,0,10412
SÁNCHEZ Luis León,21,57,0,10412
SCHÄR Michael,21,58,0,10412
LÓPEZ Miguel Ángel,21,59,0,10412
VERONA Carlos,21,60,0,10412
BARGUIL Warren,21,61,0,10412
PORTE Richie,21,62,0,10412
KUSS Sepp,21,63,0,10412
CARUSO Damiano,21,64,0,10412
ASGREEN Kasper,21,65,18,10430
VUILLERMOZ Alexis,21,66,21,10433
ELISSONDE Kenny,21,67,21,10433
CHEREL Mikaël,21,68,21,10433
VAN BAARLE Dylan,21,69,21,10433
SKUJIŅŠ Toms,21,70,21,10433
FRAILE Omar,21,71,21,10433
MARTÍNEZ Daniel Felipe,21,72,21,10433
ROLLAND Pierre,21,73,21,10433
HOULE Hugo,21,74,21,10433
POELS Wout,21,75,21,10433
JUUL-JENSEN Christopher,21,76,21,10433
PINOT Thibaut,21,77,21,10433
POWLESS Neilson,21,78,21,10433
GESINK Robert,21,79,21,10433
QUINTANA Nairo,21,80,21,10433
MADOUAS Valentin,21,81,21,10433
GIBBONS Ryan,21,82,21,10433
EG Niklas,21,83,21,10433
TEJADA Harold,21,84,21,10433
AMADOR Andrey,21,85,21,10433
ROWE Luke,21,86,21,10433
ARNDT Nikias,21,87,21,10433
DEVENYNS Dries,21,88,32,10444
MARTIN Dan,21,89,34,10446
OSS Daniel,21,90,34,10446
CHEVALIER Maxime,21,91,39,10451
GAUTIER Cyril,21,92,39,10451
QUINTANA Dayer,21,93,47,10459
JUNGELS Bob,21,94,61,10473
PACHER Quentin,21,95,66,10478
GROßSCHARTNER Felix,21,96,66,10478
KÄMNA Lennard,21,97,66,10478
LADAGNOUS Matthieu,21,98,66,10478
GESCHKE Simon,21,99,66,10478
NIV Guy,21,100,69,10481
